派蒙_ZH	->0
纳西妲_ZH	->1
凯亚_ZH	->2
阿贝多_ZH	->3
温迪_ZH	->4
枫原万叶_ZH	->5
钟离_ZH	->6
荒泷一斗_ZH	->7
八重神子_ZH	->8
艾尔海森_ZH	->9
提纳里_ZH	->10
迪希雅_ZH	->11
卡维_ZH	->12
宵宫_ZH	->13
那维莱特_ZH	->14
莱依拉_ZH	->15
赛诺_ZH	->16
莫娜_ZH	->17
诺艾尔_ZH	->18
托马_ZH	->19
凝光_ZH	->20
林尼_ZH	->21
北斗_ZH	->22
柯莱_ZH	->23
神里绫华_ZH	->24
可莉_ZH	->25
芭芭拉_ZH	->26
雷电将军_ZH	->27
娜维娅_ZH	->28
芙宁娜_ZH	->29
珊瑚宫心海_ZH	->30
鹿野院平藏_ZH	->31
迪奥娜_ZH	->32
琴_ZH	->33
五郎_ZH	->34
班尼特_ZH	->35
达达利亚_ZH	->36
安柏_ZH	->37
莱欧斯利_ZH	->38
夜兰_ZH	->39
妮露_ZH	->40
辛焱_ZH	->41
丽莎_ZH	->42
珐露珊_ZH	->43
魈_ZH	->44
香菱_ZH	->45
迪卢克_ZH	->46
砂糖_ZH	->47
烟绯_ZH	->48
早柚_ZH	->49
云堇_ZH	->50
刻晴_ZH	->51
重云_ZH	->52
优菈_ZH	->53
胡桃_ZH	->54
流浪者_ZH	->55
久岐忍_ZH	->56
神里绫人_ZH	->57
甘雨_ZH	->58
戴因斯雷布_ZH	->59
